n_tests,window_size,step,data_start,data_end,acc_full,acc_no_alpha,alpha_lift,pnl_full,sharpe_full,mdd_full,pnl_no_alpha,sharpe_no_alpha,mdd_no_alpha,mcnemar_p_value,alpha_lift_ci_95,newey_west_p_value,baseline_signature,upstream_invocations,baseline_invocations,shared_across_alpha_configs,symbol,panel,scenario,norm_method,alpha_weights,protocol,seed
20,30,3,2023-10-26,2026-09-18,40.0,40.0,0.0,-7.81,-5.13,7.81,-7.51,-4.91,7.51,1.0,"[-10.0, 10.0]",1.0,b81c162e30ada41e,20,20,False,VNM,hyperparams,w30,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",paired_shared_reports,42
20,45,3,2023-10-26,2026-09-18,55.0,40.0,15.0,-3.59,-1.79,6.08,-7.06,-2.61,9.35,0.375,"[-10.0, 40.0]",0.19652437081651764,0dc35ec7b1921d93,20,20,False,VNM,hyperparams,w45,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",paired_shared_reports,42
20,60,3,2023-10-26,2026-09-18,65.0,55.0,10.0,5.2,2.26,3.46,-0.84,-0.14,7.33,0.625,"[-5.0, 25.0]",0.2445245885054501,dedefd89acf4b49f,20,20,False,VNM,hyperparams,w60,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",paired_shared_reports,42
