n_tests,window_size,step,data_start,data_end,acc_full,acc_no_alpha,alpha_lift,pnl_full,sharpe_full,mdd_full,pnl_no_alpha,sharpe_no_alpha,mdd_no_alpha,mcnemar_p_value,alpha_lift_ci_95,newey_west_p_value,baseline_signature,upstream_invocations,baseline_invocations,shared_across_alpha_configs,symbol,panel,scenario,norm_method,alpha_weights,protocol,seed
20,45,3,2023-10-26,2026-09-18,60.0,50.0,10.0,-1.99,-1.24,5.03,-7.85,-4.15,8.62,0.625,"[0.0, 25.0]",0.22763815370495705,d59a2b48a267ec11,20,20,True,FPT,weights,default,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,60.0,50.0,10.0,-0.36,0.01,6.3,-7.85,-4.15,8.62,0.625,"[0.0, 25.0]",0.22763815370495705,d59a2b48a267ec11,20,20,True,FPT,weights,equal_weight,zscore_tanh,"{""acc"": 0.3333333333333333, ""ic"": 0.3333333333333333, ""sharpe"": 0.3333333333333333}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,65.0,50.0,15.0,-2.21,-1.3,4.49,-7.85,-4.15,8.62,0.25,"[5.0, 25.0]",0.027990980946396713,d59a2b48a267ec11,20,20,True,FPT,weights,ic_heavy,zscore_tanh,"{""acc"": 0.2, ""ic"": 0.6, ""sharpe"": 0.2}",shared_upstream_across_alpha_configs,42
