n_tests,window_size,step,data_start,data_end,acc_full,acc_no_alpha,alpha_lift,pnl_full,sharpe_full,mdd_full,pnl_no_alpha,sharpe_no_alpha,mdd_no_alpha,mcnemar_p_value,alpha_lift_ci_95,newey_west_p_value,baseline_signature,upstream_invocations,baseline_invocations,shared_across_alpha_configs,symbol,panel,scenario,norm_method,alpha_weights,protocol,seed
20,45,3,2023-10-26,2026-09-18,60.0,45.0,15.0,2.7,1.21,6.06,-2.22,-0.65,8.61,0.25,"[5.0, 35.0]",0.027990980946396713,2a682c042bc53e52,20,20,True,VNM,norm,zscore_tanh,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,65.0,45.0,20.0,3.89,1.81,3.09,-2.22,-0.65,8.61,0.2890625,"[10.0, 35.0]",0.005437054301226377,2a682c042bc53e52,20,20,True,VNM,norm,minmax,minmax,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,55.0,45.0,10.0,-2.01,-0.8,6.06,-2.22,-0.65,8.61,0.6875,"[0.0, 25.0]",0.17754815138645924,2a682c042bc53e52,20,20,True,VNM,norm,rank,rank,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
