n_tests,window_size,step,data_start,data_end,acc_full,acc_no_alpha,alpha_lift,pnl_full,sharpe_full,mdd_full,pnl_no_alpha,sharpe_no_alpha,mdd_no_alpha,mcnemar_p_value,alpha_lift_ci_95,newey_west_p_value,baseline_signature,upstream_invocations,baseline_invocations,shared_across_alpha_configs,symbol,panel,scenario,norm_method,alpha_weights,protocol,seed
20,45,3,2023-10-26,2026-09-18,50.0,45.0,5.0,-4.72,-1.82,7.53,-7.38,-2.98,10.12,1.0,"[0.0, 10.0]",0.44035466228742803,e4df4fd273a01154,20,20,True,FPT,norm,zscore_tanh,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,55.0,45.0,10.0,-5.63,-3.55,8.62,-7.38,-2.98,10.12,0.6875,"[-15.0, 30.0]",0.38103704635102065,e4df4fd273a01154,20,20,True,FPT,norm,minmax,minmax,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,60.0,45.0,15.0,-4.36,-2.12,8.1,-7.38,-2.98,10.12,0.375,"[-15.0, 35.0]",0.20075807022701736,e4df4fd273a01154,20,20,True,FPT,norm,rank,rank,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
