n_tests,window_size,step,data_start,data_end,acc_full,acc_no_alpha,alpha_lift,pnl_full,sharpe_full,mdd_full,pnl_no_alpha,sharpe_no_alpha,mdd_no_alpha,mcnemar_p_value,alpha_lift_ci_95,newey_west_p_value,baseline_signature,upstream_invocations,baseline_invocations,shared_across_alpha_configs,symbol,panel,scenario,norm_method,alpha_weights,protocol,seed
20,45,3,2023-10-26,2026-09-18,65.0,45.0,20.0,6.17,2.71,3.02,-5.19,-1.68,11.39,0.21875,"[0.0, 40.0]",0.10808994994085994,4a41a091ad83a8cf,20,20,True,VNM,weights,default,zscore_tanh,"{""acc"": 0.35, ""ic"": 0.4, ""sharpe"": 0.25}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,50.0,45.0,5.0,-4.57,-3.36,6.61,-5.19,-1.68,11.39,1.0,"[-30.0, 45.0]",0.765020319593931,4a41a091ad83a8cf,20,20,True,VNM,weights,equal_weight,zscore_tanh,"{""acc"": 0.3333333333333333, ""ic"": 0.3333333333333333, ""sharpe"": 0.3333333333333333}",shared_upstream_across_alpha_configs,42
20,45,3,2023-10-26,2026-09-18,60.0,45.0,15.0,2.7,1.21,6.06,-5.19,-1.68,11.39,0.25,"[5.0, 30.125]",0.09543877658359463,4a41a091ad83a8cf,20,20,True,VNM,weights,ic_heavy,zscore_tanh,"{""acc"": 0.2, ""ic"": 0.6, ""sharpe"": 0.2}",shared_upstream_across_alpha_configs,42
