acc_full,acc_no_alpha,pnl_full,sharpe_full,mdd_full,pnl_no_alpha,sharpe_no_alpha,mcnemar_p_value,is_significant,delta_acc_ci,norm_method
57.1,57.1,0.0,0.0,0.0,-8.31,-10.06,1.0,False,"[0.0, 0.0]",zscore_tanh
57.1,71.4,0.0,0.0,0.0,-3.25,-7.21,1.0,False,"[0.0, 0.0]",minmax
57.1,42.9,0.0,0.0,0.0,-2.67,-6.48,1.0,False,"[0.0, 0.0]",rank
